,state,district,year,month,Bio_bio_age_5_17,Bio_bio_age_17_
42,Andhra Pradesh,Anakapalli,2025,10,373.0,281.0
43,Andhra Pradesh,Anakapalli,2025,11,429.0,303.0
44,Andhra Pradesh,Anakapalli,2025,12,455.0,519.0
45,Andhra Pradesh,Ananthapuramu,2025,3,29148.0,10801.0
46,Andhra Pradesh,Ananthapuramu,2025,4,42919.0,10085.0
47,Andhra Pradesh,Ananthapuramu,2025,5,32744.0,10995.0
48,Andhra Pradesh,Ananthapuramu,2025,6,27809.0,12254.0
49,Andhra Pradesh,Ananthapuramu,2025,7,8385.0,10212.0
50,Andhra Pradesh,Ananthapuramu,2025,9,5750.0,7059.0
51,Andhra Pradesh,Ananthapuramu,2025,10,18572.0,10205.0
52,Andhra Pradesh,Ananthapuramu,2025,11,13333.0,11068.0
53,Andhra Pradesh,Ananthapuramu,2025,12,11789.0,14171.0
54,Andhra Pradesh,Annamayya,2025,3,235.0,270.0
55,Andhra Pradesh,Annamayya,2025,4,760.0,371.0
56,Andhra Pradesh,Annamayya,2025,5,1317.0,595.0
57,Andhra Pradesh,Annamayya,2025,6,903.0,507.0
58,Andhra Pradesh,Annamayya,2025,7,361.0,491.0
59,Andhra Pradesh,Annamayya,2025,9,191.0,385.0
60,Andhra Pradesh,Annamayya,2025,10,634.0,326.0
61,Andhra Pradesh,Annamayya,2025,11,655.0,372.0
62,Andhra Pradesh,Annamayya,2025,12,734.0,605.0
63,Andhra Pradesh,Bapatla,2025,3,114.0,131.0
64,Andhra Pradesh,Bapatla,2025,4,220.0,165.0
65,Andhra Pradesh,Bapatla,2025,5,508.0,303.0
66,Andhra Pradesh,Bapatla,2025,6,822.0,465.0
67,Andhra Pradesh,Bapatla,2025,7,171.0,165.0
68,Andhra Pradesh,Bapatla,2025,9,134.0,182.0
69,Andhra Pradesh,Bapatla,2025,10,462.0,171.0
70,Andhra Pradesh,Bapatla,2025,11,769.0,203.0
71,Andhra Pradesh,Bapatla,2025,12,699.0,298.0
72,Andhra Pradesh,Chittoor,2025,3,18773.0,9414.0
73,Andhra Pradesh,Chittoor,2025,4,35284.0,10206.0
74,Andhra Pradesh,Chittoor,2025,5,25633.0,9255.0
75,Andhra Pradesh,Chittoor,2025,6,21156.0,9672.0
76,Andhra Pradesh,Chittoor,2025,7,8888.0,10455.0
77,Andhra Pradesh,Chittoor,2025,9,5093.0,7074.0
78,Andhra Pradesh,Chittoor,2025,10,19343.0,6698.0
79,Andhra Pradesh,Chittoor,2025,11,22227.0,8670.0
80,Andhra Pradesh,Chittoor,2025,12,12330.0,11267.0
81,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,3,116.0,181.0
82,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,4,321.0,247.0
83,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,5,615.0,414.0
84,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,6,668.0,528.0
85,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,7,182.0,300.0
86,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,9,200.0,309.0
87,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,10,653.0,240.0
88,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,11,941.0,295.0
89,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,12,656.0,440.0
90,Andhra Pradesh,East Godavari,2025,3,18286.0,11512.0
91,Andhra Pradesh,East Godavari,2025,4,39510.0,11585.0
92,Andhra Pradesh,East Godavari,2025,5,29904.0,11079.0
93,Andhra Pradesh,East Godavari,2025,6,30081.0,12219.0
94,Andhra Pradesh,East Godavari,2025,7,12528.0,13506.0
95,Andhra Pradesh,East Godavari,2025,9,7385.0,7853.0
96,Andhra Pradesh,East Godavari,2025,10,20988.0,7726.0
97,Andhra Pradesh,East Godavari,2025,11,26682.0,9204.0
98,Andhra Pradesh,East Godavari,2025,12,19540.0,12262.0
99,Andhra Pradesh,Eluru,2025,3,171.0,308.0
100,Andhra Pradesh,Eluru,2025,4,402.0,462.0
101,Andhra Pradesh,Eluru,2025,5,801.0,734.0
102,Andhra Pradesh,Eluru,2025,6,899.0,693.0
103,Andhra Pradesh,Eluru,2025,7,235.0,374.0
104,Andhra Pradesh,Eluru,2025,9,215.0,392.0
105,Andhra Pradesh,Eluru,2025,10,381.0,267.0
106,Andhra Pradesh,Eluru,2025,11,584.0,285.0
107,Andhra Pradesh,Eluru,2025,12,600.0,427.0
108,Andhra Pradesh,Guntur,2025,3,19655.0,11604.0
109,Andhra Pradesh,Guntur,2025,4,40190.0,11344.0
110,Andhra Pradesh,Guntur,2025,5,28530.0,12010.0
111,Andhra Pradesh,Guntur,2025,6,28176.0,13524.0
112,Andhra Pradesh,Guntur,2025,7,11415.0,14196.0
113,Andhra Pradesh,Guntur,2025,9,4976.0,8246.0
114,Andhra Pradesh,Guntur,2025,10,17165.0,8852.0
115,Andhra Pradesh,Guntur,2025,11,21021.0,10826.0
116,Andhra Pradesh,Guntur,2025,12,16537.0,13427.0
117,Andhra Pradesh,Kakinada,2025,3,203.0,317.0
118,Andhra Pradesh,Kakinada,2025,4,710.0,613.0
119,Andhra Pradesh,Kakinada,2025,5,1272.0,742.0
120,Andhra Pradesh,Kakinada,2025,6,1091.0,690.0
121,Andhra Pradesh,Kakinada,2025,7,524.0,607.0
122,Andhra Pradesh,Kakinada,2025,9,250.0,346.0
123,Andhra Pradesh,Kakinada,2025,10,954.0,324.0
124,Andhra Pradesh,Kakinada,2025,11,1247.0,382.0
125,Andhra Pradesh,Kakinada,2025,12,890.0,536.0
126,Andhra Pradesh,Krishna,2025,3,16816.0,9887.0
127,Andhra Pradesh,Krishna,2025,4,29038.0,9999.0
128,Andhra Pradesh,Krishna,2025,5,20478.0,9521.0
129,Andhra Pradesh,Krishna,2025,6,20590.0,10292.0
130,Andhra Pradesh,Krishna,2025,7,11727.0,11239.0
131,Andhra Pradesh,Krishna,2025,9,5652.0,9254.0
132,Andhra Pradesh,Krishna,2025,10,13069.0,7233.0
133,Andhra Pradesh,Krishna,2025,11,17877.0,8508.0
134,Andhra Pradesh,Krishna,2025,12,11541.0,10526.0
135,Andhra Pradesh,Kurnool,2025,3,27662.0,10576.0
136,Andhra Pradesh,Kurnool,2025,4,56618.0,11320.0
137,Andhra Pradesh,Kurnool,2025,5,38609.0,11871.0
138,Andhra Pradesh,Kurnool,2025,6,34015.0,13321.0
139,Andhra Pradesh,Kurnool,2025,7,15103.0,14834.0
140,Andhra Pradesh,Kurnool,2025,9,7839.0,9118.0
141,Andhra Pradesh,Kurnool,2025,10,23968.0,10978.0
142,Andhra Pradesh,Kurnool,2025,11,21105.0,11578.0
143,Andhra Pradesh,Kurnool,2025,12,18073.0,14045.0
144,Andhra Pradesh,Mahabub Nagar,2025,3,274.0,1114.0
145,Andhra Pradesh,Mahabub Nagar,2025,4,189.0,664.0
146,Andhra Pradesh,Mahabub Nagar,2025,5,244.0,696.0
147,Andhra Pradesh,Mahabub Nagar,2025,6,411.0,977.0
148,Andhra Pradesh,Mahabub Nagar,2025,7,276.0,1304.0
149,Andhra Pradesh,Mahabub Nagar,2025,9,299.0,1922.0
150,Andhra Pradesh,Mahabub Nagar,2025,10,540.0,1789.0
151,Andhra Pradesh,Mahabub Nagar,2025,11,452.0,1429.0
152,Andhra Pradesh,Mahabub Nagar,2025,12,375.0,1784.0
153,Andhra Pradesh,N. T. R,2025,3,380.0,740.0
154,Andhra Pradesh,N. T. R,2025,4,993.0,944.0
155,Andhra Pradesh,N. T. R,2025,5,1040.0,991.0
156,Andhra Pradesh,N. T. R,2025,6,1007.0,836.0
157,Andhra Pradesh,N. T. R,2025,7,788.0,1079.0
158,Andhra Pradesh,N. T. R,2025,9,329.0,638.0
159,Andhra Pradesh,N. T. R,2025,10,711.0,442.0
160,Andhra Pradesh,N. T. R,2025,11,879.0,484.0
161,Andhra Pradesh,N. T. R,2025,12,661.0,617.0
162,Andhra Pradesh,Nandyal,2025,3,283.0,280.0
163,Andhra Pradesh,Nandyal,2025,4,658.0,411.0
164,Andhra Pradesh,Nandyal,2025,5,1107.0,649.0
165,Andhra Pradesh,Nandyal,2025,6,1222.0,735.0
166,Andhra Pradesh,Nandyal,2025,7,338.0,513.0
167,Andhra Pradesh,Nandyal,2025,9,220.0,388.0
168,Andhra Pradesh,Nandyal,2025,10,855.0,407.0
169,Andhra Pradesh,Nandyal,2025,11,814.0,415.0
170,Andhra Pradesh,Nandyal,2025,12,840.0,505.0
171,Andhra Pradesh,Palnadu,2025,3,293.0,311.0
172,Andhra Pradesh,Palnadu,2025,4,606.0,398.0
173,Andhra Pradesh,Palnadu,2025,5,1259.0,700.0
174,Andhra Pradesh,Palnadu,2025,6,1400.0,705.0
175,Andhra Pradesh,Palnadu,2025,7,368.0,531.0
176,Andhra Pradesh,Palnadu,2025,9,192.0,348.0
177,Andhra Pradesh,Palnadu,2025,10,593.0,264.0
178,Andhra Pradesh,Palnadu,2025,11,686.0,346.0
179,Andhra Pradesh,Palnadu,2025,12,610.0,443.0
180,Andhra Pradesh,Parvathipuram Manyam,2025,3,362.0,487.0
181,Andhra Pradesh,Parvathipuram Manyam,2025,4,840.0,655.0
182,Andhra Pradesh,Parvathipuram Manyam,2025,5,1014.0,786.0
183,Andhra Pradesh,Parvathipuram Manyam,2025,6,1058.0,879.0
184,Andhra Pradesh,Parvathipuram Manyam,2025,7,409.0,743.0
185,Andhra Pradesh,Parvathipuram Manyam,2025,9,149.0,432.0
186,Andhra Pradesh,Parvathipuram Manyam,2025,10,320.0,431.0
187,Andhra Pradesh,Parvathipuram Manyam,2025,11,541.0,460.0
188,Andhra Pradesh,Parvathipuram Manyam,2025,12,397.0,667.0
189,Andhra Pradesh,Prakasam,2025,3,11991.0,7242.0
190,Andhra Pradesh,Prakasam,2025,4,28635.0,7906.0
191,Andhra Pradesh,Prakasam,2025,5,24657.0,8625.0
192,Andhra Pradesh,Prakasam,2025,6,23007.0,10067.0
193,Andhra Pradesh,Prakasam,2025,7,8732.0,9994.0
194,Andhra Pradesh,Prakasam,2025,9,4352.0,6116.0
195,Andhra Pradesh,Prakasam,2025,10,10066.0,7699.0
196,Andhra Pradesh,Prakasam,2025,11,13488.0,8594.0
197,Andhra Pradesh,Prakasam,2025,12,11605.0,9523.0
198,Andhra Pradesh,Ranga Reddy,2025,3,11.0,6.0
199,Andhra Pradesh,Ranga Reddy,2025,6,23.0,12.0
200,Andhra Pradesh,Ranga Reddy,2025,7,10.0,12.0
201,Andhra Pradesh,Ranga Reddy,2025,9,68.0,231.0
202,Andhra Pradesh,Ranga Reddy,2025,10,100.0,206.0
203,Andhra Pradesh,Ranga Reddy,2025,11,66.0,174.0
204,Andhra Pradesh,Ranga Reddy,2025,12,108.0,158.0
205,Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,3,5223.0,6412.0
206,Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,4,21750.0,6856.0
207,Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,5,18658.0,7403.0
208,Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,6,17900.0,8309.0
209,Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,7,7129.0,8864.0
210,Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,9,3690.0,5338.0
211,Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,10,10929.0,5339.0
212,Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,11,12325.0,6981.0
213,Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,12,8129.0,7377.0
214,Andhra Pradesh,Sri Sathya Sai,2025,3,738.0,463.0
215,Andhra Pradesh,Sri Sathya Sai,2025,4,690.0,395.0
216,Andhra Pradesh,Sri Sathya Sai,2025,5,1043.0,738.0
217,Andhra Pradesh,Sri Sathya Sai,2025,6,1080.0,724.0
218,Andhra Pradesh,Sri Sathya Sai,2025,7,179.0,268.0
219,Andhra Pradesh,Sri Sathya Sai,2025,9,185.0,412.0
220,Andhra Pradesh,Sri Sathya Sai,2025,10,738.0,439.0
221,Andhra Pradesh,Sri Sathya Sai,2025,11,577.0,567.0
222,Andhra Pradesh,Sri Sathya Sai,2025,12,474.0,705.0
223,Andhra Pradesh,Srikakulam,2025,3,22984.0,6997.0
224,Andhra Pradesh,Srikakulam,2025,4,29521.0,7659.0
225,Andhra Pradesh,Srikakulam,2025,5,15311.0,7444.0
226,Andhra Pradesh,Srikakulam,2025,6,15707.0,9101.0
227,Andhra Pradesh,Srikakulam,2025,7,6285.0,8992.0
228,Andhra Pradesh,Srikakulam,2025,9,3417.0,5782.0
229,Andhra Pradesh,Srikakulam,2025,10,11802.0,6536.0
230,Andhra Pradesh,Srikakulam,2025,11,11031.0,6435.0
231,Andhra Pradesh,Srikakulam,2025,12,9120.0,8483.0
232,Andhra Pradesh,Tirupati,2025,3,268.0,382.0
233,Andhra Pradesh,Tirupati,2025,4,560.0,571.0
234,Andhra Pradesh,Tirupati,2025,5,1071.0,828.0
235,Andhra Pradesh,Tirupati,2025,6,935.0,722.0
236,Andhra Pradesh,Tirupati,2025,7,375.0,586.0
237,Andhra Pradesh,Tirupati,2025,9,296.0,375.0
238,Andhra Pradesh,Tirupati,2025,10,658.0,331.0
239,Andhra Pradesh,Tirupati,2025,11,868.0,431.0
240,Andhra Pradesh,Tirupati,2025,12,602.0,539.0
241,Andhra Pradesh,Visakhapatnam,2025,3,21850.0,15143.0
242,Andhra Pradesh,Visakhapatnam,2025,4,44075.0,14418.0
243,Andhra Pradesh,Visakhapatnam,2025,5,28998.0,13737.0
244,Andhra Pradesh,Visakhapatnam,2025,6,29728.0,15240.0
245,Andhra Pradesh,Visakhapatnam,2025,7,11793.0,14744.0
246,Andhra Pradesh,Visakhapatnam,2025,9,9267.0,9802.0
247,Andhra Pradesh,Visakhapatnam,2025,10,12702.0,8441.0
248,Andhra Pradesh,Visakhapatnam,2025,11,20111.0,10754.0
249,Andhra Pradesh,Visakhapatnam,2025,12,16861.0,13639.0
250,Andhra Pradesh,Vizianagaram,2025,3,11966.0,6473.0
251,Andhra Pradesh,Vizianagaram,2025,4,21930.0,6001.0
252,Andhra Pradesh,Vizianagaram,2025,5,15557.0,6376.0
253,Andhra Pradesh,Vizianagaram,2025,6,13716.0,7158.0
254,Andhra Pradesh,Vizianagaram,2025,7,5872.0,7494.0
255,Andhra Pradesh,Vizianagaram,2025,9,2908.0,5242.0
256,Andhra Pradesh,Vizianagaram,2025,10,7728.0,5582.0
257,Andhra Pradesh,Vizianagaram,2025,11,11576.0,6105.0
258,Andhra Pradesh,Vizianagaram,2025,12,10043.0,8271.0
259,Andhra Pradesh,West Godavari,2025,3,15662.0,9674.0
260,Andhra Pradesh,West Godavari,2025,4,26832.0,9379.0
261,Andhra Pradesh,West Godavari,2025,5,19992.0,9925.0
262,Andhra Pradesh,West Godavari,2025,6,21049.0,10030.0
263,Andhra Pradesh,West Godavari,2025,7,8673.0,10290.0
264,Andhra Pradesh,West Godavari,2025,9,4989.0,7097.0
265,Andhra Pradesh,West Godavari,2025,10,14249.0,6405.0
266,Andhra Pradesh,West Godavari,2025,11,15633.0,7745.0
267,Andhra Pradesh,West Godavari,2025,12,12900.0,9890.0
268,Andhra Pradesh,YSR Kadapa,2025,3,11858.0,5523.0
269,Andhra Pradesh,YSR Kadapa,2025,4,22743.0,6050.0
270,Andhra Pradesh,YSR Kadapa,2025,5,19467.0,6348.0
271,Andhra Pradesh,YSR Kadapa,2025,6,18686.0,7566.0
272,Andhra Pradesh,YSR Kadapa,2025,7,7388.0,7536.0
273,Andhra Pradesh,YSR Kadapa,2025,9,3929.0,5054.0
274,Andhra Pradesh,YSR Kadapa,2025,10,11434.0,6089.0
275,Andhra Pradesh,YSR Kadapa,2025,11,12396.0,6246.0
276,Andhra Pradesh,YSR Kadapa,2025,12,12409.0,8682.0
277,Arunachal Pradesh,Anjaw,2025,3,55.0,79.0
278,Arunachal Pradesh,Anjaw,2025,4,68.0,53.0
279,Arunachal Pradesh,Anjaw,2025,5,89.0,101.0
280,Arunachal Pradesh,Anjaw,2025,6,50.0,58.0
281,Arunachal Pradesh,Anjaw,2025,7,60.0,79.0
282,Arunachal Pradesh,Anjaw,2025,9,50.0,28.0
283,Arunachal Pradesh,Anjaw,2025,10,34.0,24.0
284,Arunachal Pradesh,Anjaw,2025,11,184.0,36.0
285,Arunachal Pradesh,Anjaw,2025,12,85.0,38.0
286,Arunachal Pradesh,Changlang,2025,3,483.0,339.0
287,Arunachal Pradesh,Changlang,2025,4,490.0,258.0
288,Arunachal Pradesh,Changlang,2025,5,381.0,268.0
289,Arunachal Pradesh,Changlang,2025,6,386.0,288.0
290,Arunachal Pradesh,Changlang,2025,7,528.0,419.0
291,Arunachal Pradesh,Changlang,2025,9,762.0,514.0
292,Arunachal Pradesh,Changlang,2025,10,255.0,212.0
293,Arunachal Pradesh,Changlang,2025,11,1265.0,234.0
294,Arunachal Pradesh,Changlang,2025,12,886.0,215.0
295,Arunachal Pradesh,Dibang Valley,2025,3,15.0,41.0
296,Arunachal Pradesh,Dibang Valley,2025,4,11.0,11.0
297,Arunachal Pradesh,Dibang Valley,2025,5,33.0,25.0
298,Arunachal Pradesh,Dibang Valley,2025,6,19.0,17.0
299,Arunachal Pradesh,Dibang Valley,2025,7,16.0,17.0
300,Arunachal Pradesh,Dibang Valley,2025,9,10.0,9.0
301,Arunachal Pradesh,Dibang Valley,2025,10,27.0,5.0
302,Arunachal Pradesh,Dibang Valley,2025,11,168.0,24.0
303,Arunachal Pradesh,Dibang Valley,2025,12,14.0,9.0
304,Arunachal Pradesh,East Kameng,2025,3,189.0,244.0
305,Arunachal Pradesh,East Kameng,2025,4,333.0,168.0
306,Arunachal Pradesh,East Kameng,2025,5,306.0,228.0
307,Arunachal Pradesh,East Kameng,2025,6,228.0,194.0
308,Arunachal Pradesh,East Kameng,2025,7,195.0,191.0
309,Arunachal Pradesh,East Kameng,2025,9,396.0,263.0
310,Arunachal Pradesh,East Kameng,2025,10,280.0,154.0
311,Arunachal Pradesh,East Kameng,2025,11,564.0,117.0
312,Arunachal Pradesh,East Kameng,2025,12,199.0,48.0
313,Arunachal Pradesh,East Siang,2025,3,134.0,131.0
314,Arunachal Pradesh,East Siang,2025,4,191.0,112.0
315,Arunachal Pradesh,East Siang,2025,5,165.0,93.0
316,Arunachal Pradesh,East Siang,2025,6,127.0,121.0
317,Arunachal Pradesh,East Siang,2025,7,160.0,200.0
318,Arunachal Pradesh,East Siang,2025,9,152.0,96.0
319,Arunachal Pradesh,East Siang,2025,10,281.0,98.0
320,Arunachal Pradesh,East Siang,2025,11,539.0,133.0
321,Arunachal Pradesh,East Siang,2025,12,493.0,95.0
322,Arunachal Pradesh,Kamle,2025,6,10.0,15.0
323,Arunachal Pradesh,Kamle,2025,7,28.0,38.0
324,Arunachal Pradesh,Kamle,2025,9,6.0,17.0
325,Arunachal Pradesh,Kamle,2025,10,3.0,2.0
326,Arunachal Pradesh,Kamle,2025,11,8.0,12.0
327,Arunachal Pradesh,Kamle,2025,12,2.0,2.0
328,Arunachal Pradesh,Kra Daadi,2025,3,75.0,122.0
329,Arunachal Pradesh,Kra Daadi,2025,4,127.0,80.0
330,Arunachal Pradesh,Kra Daadi,2025,5,118.0,80.0
331,Arunachal Pradesh,Kra Daadi,2025,6,73.0,56.0
332,Arunachal Pradesh,Kra Daadi,2025,7,95.0,83.0
333,Arunachal Pradesh,Kra Daadi,2025,9,75.0,37.0
334,Arunachal Pradesh,Kra Daadi,2025,10,53.0,22.0
335,Arunachal Pradesh,Kra Daadi,2025,11,34.0,24.0
336,Arunachal Pradesh,Kra Daadi,2025,12,67.0,19.0
337,Arunachal Pradesh,Kurung Kumey,2025,3,93.0,536.0
338,Arunachal Pradesh,Kurung Kumey,2025,4,107.0,467.0
339,Arunachal Pradesh,Kurung Kumey,2025,5,128.0,328.0
340,Arunachal Pradesh,Kurung Kumey,2025,6,88.0,201.0
341,Arunachal Pradesh,Kurung Kumey,2025,7,178.0,308.0
342,Arunachal Pradesh,Kurung Kumey,2025,9,134.0,132.0
343,Arunachal Pradesh,Kurung Kumey,2025,10,118.0,51.0
344,Arunachal Pradesh,Kurung Kumey,2025,11,312.0,50.0
345,Arunachal Pradesh,Kurung Kumey,2025,12,141.0,18.0
346,Arunachal Pradesh,Leparada,2025,9,3.0,0.0
347,Arunachal Pradesh,Leparada,2025,10,14.0,1.0
348,Arunachal Pradesh,Leparada,2025,11,14.0,1.0
349,Arunachal Pradesh,Leparada,2025,12,3.0,0.0
350,Arunachal Pradesh,Lohit,2025,3,100.0,364.0
351,Arunachal Pradesh,Lohit,2025,4,177.0,306.0
352,Arunachal Pradesh,Lohit,2025,5,173.0,281.0
353,Arunachal Pradesh,Lohit,2025,6,116.0,270.0
354,Arunachal Pradesh,Lohit,2025,7,128.0,237.0
355,Arunachal Pradesh,Lohit,2025,9,141.0,175.0
356,Arunachal Pradesh,Lohit,2025,10,196.0,96.0
357,Arunachal Pradesh,Lohit,2025,11,317.0,100.0
358,Arunachal Pradesh,Lohit,2025,12,448.0,266.0
359,Arunachal Pradesh,Longding,2025,3,133.0,129.0
360,Arunachal Pradesh,Longding,2025,4,277.0,126.0
361,Arunachal Pradesh,Longding,2025,5,196.0,124.0
362,Arunachal Pradesh,Longding,2025,6,141.0,136.0
363,Arunachal Pradesh,Longding,2025,7,157.0,181.0
364,Arunachal Pradesh,Longding,2025,9,224.0,109.0
365,Arunachal Pradesh,Longding,2025,10,123.0,46.0
366,Arunachal Pradesh,Longding,2025,11,258.0,64.0
367,Arunachal Pradesh,Longding,2025,12,102.0,73.0
368,Arunachal Pradesh,Lower Dibang Valley,2025,3,80.0,117.0
369,Arunachal Pradesh,Lower Dibang Valley,2025,4,111.0,67.0
370,Arunachal Pradesh,Lower Dibang Valley,2025,5,121.0,112.0
371,Arunachal Pradesh,Lower Dibang Valley,2025,6,118.0,113.0
372,Arunachal Pradesh,Lower Dibang Valley,2025,7,114.0,139.0
373,Arunachal Pradesh,Lower Dibang Valley,2025,9,96.0,81.0
374,Arunachal Pradesh,Lower Dibang Valley,2025,10,270.0,77.0
375,Arunachal Pradesh,Lower Dibang Valley,2025,11,291.0,72.0
376,Arunachal Pradesh,Lower Dibang Valley,2025,12,172.0,97.0
377,Arunachal Pradesh,Lower Siang,2025,3,26.0,12.0
378,Arunachal Pradesh,Lower Siang,2025,5,12.0,10.0
379,Arunachal Pradesh,Lower Siang,2025,9,27.0,13.0
380,Arunachal Pradesh,Lower Siang,2025,10,87.0,9.0
381,Arunachal Pradesh,Lower Siang,2025,11,182.0,7.0
382,Arunachal Pradesh,Lower Siang,2025,12,25.0,3.0
383,Arunachal Pradesh,Lower Subansiri,2025,3,81.0,128.0
384,Arunachal Pradesh,Lower Subansiri,2025,4,169.0,178.0
385,Arunachal Pradesh,Lower Subansiri,2025,5,155.0,196.0
386,Arunachal Pradesh,Lower Subansiri,2025,6,108.0,129.0
387,Arunachal Pradesh,Lower Subansiri,2025,7,340.0,188.0
388,Arunachal Pradesh,Lower Subansiri,2025,9,180.0,116.0
389,Arunachal Pradesh,Lower Subansiri,2025,10,280.0,96.0
390,Arunachal Pradesh,Lower Subansiri,2025,11,107.0,75.0
391,Arunachal Pradesh,Lower Subansiri,2025,12,110.0,44.0
392,Arunachal Pradesh,Namsai,2025,3,213.0,274.0
393,Arunachal Pradesh,Namsai,2025,4,327.0,351.0
394,Arunachal Pradesh,Namsai,2025,5,423.0,413.0
395,Arunachal Pradesh,Namsai,2025,6,484.0,414.0
396,Arunachal Pradesh,Namsai,2025,7,321.0,411.0
397,Arunachal Pradesh,Namsai,2025,9,167.0,211.0
398,Arunachal Pradesh,Namsai,2025,10,79.0,102.0
399,Arunachal Pradesh,Namsai,2025,11,965.0,111.0
400,Arunachal Pradesh,Namsai,2025,12,582.0,155.0
401,Arunachal Pradesh,Pakke Kessang,2025,3,12.0,6.0
402,Arunachal Pradesh,Pakke Kessang,2025,9,7.0,21.0
403,Arunachal Pradesh,Pakke Kessang,2025,10,4.0,7.0
404,Arunachal Pradesh,Pakke Kessang,2025,11,5.0,10.0
405,Arunachal Pradesh,Pakke Kessang,2025,12,2.0,0.0
406,Arunachal Pradesh,Papum Pare,2025,3,345.0,717.0
407,Arunachal Pradesh,Papum Pare,2025,4,458.0,618.0
408,Arunachal Pradesh,Papum Pare,2025,5,496.0,687.0
409,Arunachal Pradesh,Papum Pare,2025,6,322.0,559.0
410,Arunachal Pradesh,Papum Pare,2025,7,789.0,643.0
